W(H)1m,mean(H)1m,stdev(H)1m,W(M)1m,mean(M)1m,stdev(M)1m,W(HH)1m,mean(HH)1m,stdev(HH)1m,magnitud(HH)1m,radius(HH)1m,covariance(HH)1m,correlation(HH)1m,W(HH_jit)1m,mean(HH_jit)1m,stdev(HH_jit)1m,W(HpHp)1m,mean(HpHp)1m,stdev(HpHp)1m,magnitud(HpHp)1m,radius(HpHp)1m,covariance(HpHp)1m,correlation(HpHp)1m,W(H)10s,mean(H)10s,stdev(H)10s,W(M)10s,mean(M)10s,stdev(M)10s,W(HH)10s,mean(HH)10s,stdev(HH)10s,magnitud(HH)10s,radius(HH)10s,covariance(HH)10s,correlation(HH)10s,W(HH_jit)10s,mean(HH_jit)10s,stdev(HH_jit)10s,W(HpHp)10s,mean(HpHp)10s,stdev(HpHp)10s,magnitud(HpHp)10s,radius(HpHp)10s,covariance(HpHp)10s,correlation(HpHp)10s,W(H)1.5s,mean(H)1.5s,stdev(H)1.5s,W(M)1.5s,mean(M)1.5s,stdev(M)1.5s,W(HH)1.5s,mean(HH)1.5s,stdev(HH)1.5s,magnitud(HH)1.5s,radius(HH)1.5s,covariance(HH)1.5s,correlation(HH)1.5s,W(HH_jit)1.5s,mean(HH_jit)1.5s,stdev(HH_jit)1.5s,W(HpHp)1.5s,mean(HpHp)1.5s,stdev(HpHp)1.5s,magnitud(HpHp)1.5s,radius(HpHp)1.5s,covariance(HpHp)1.5s,correlation(HpHp)1.5s,W(H)500ms,mean(H)500ms,stdev(H)500ms,W(M)500ms,mean(M)500ms,stdev(M)500ms,W(HH)500ms,mean(HH)500ms,stdev(HH)500ms,magnitud(HH)500ms,radius(HH)500ms,covariance(HH)500ms,correlation(HH)500ms,W(HH_jit)500ms,mean(HH_jit)500ms,stdev(HH_jit)500ms,W(HpHp)500ms,mean(HpHp)500ms,stdev(HpHp)500ms,magnitud(HpHp)500ms,radius(HpHp)500ms,covariance(HpHp)500ms,correlation(HpHp)500ms,W(H)100ms,mean(H)100ms,stdev(H)100ms,W(M)100ms,mean(M)100ms,stdev(M)100ms,W(HH)100ms,mean(HH)100ms,stdev(HH)100ms,magnitud(HH)100ms,radius(HH)100ms,covariance(HH)100ms,correlation(HH)100ms,W(HH_jit)100ms,mean(HH_jit)100ms,stdev(HH_jit)100ms,W(HpHp)100ms,mean(HpHp)100ms,stdev(HpHp)100ms,magnitud(HpHp)100ms,radius(HpHp)100ms,covariance(HpHp)100ms,correlation(HpHp)100ms
19,178.5789474,14.72456673,27,223.0740741,22.02607882,27,223.0740741,22.02607882,320.846401,648.7482408,9212.093771,0.999923498,14,431.1428571,66.743893,27,223.0740741,22.02607882,320.846401,648.7482408,9212.093771,0.999923498,4,200.75,33.88583775,23,230.6086957,20.75339869,23,230.6086957,20.75339869,320.1005631,538.3628463,9759.806444,0.998038999,12,459.75,32.41246954,23,230.6086957,20.75339869,320.1005631,538.3628463,9759.806444,0.998038999,3,187,24.24871131,5,232.6,18.86266153,5,232.6,18.86266153,332.0719199,355.8,11595.05406,0.99831772,3,456,25.35744467,5,232.6,18.86266153,332.0719199,355.8,11595.05406,0.99831772,1,242,0,5,232.6,18.86266153,5,232.6,18.86266153,328.9460746,503.1771855,10853.0648,1,3,456,25.35744467,5,232.6,18.86266153,328.9460746,503.1771855,10853.0648,1,1,167,0,10,213.6,6.186005712,10,213.6,6.186005712,302.0760169,54.11723899,9387.563509,1,5,428.2,5.215361924,7,213.4285714,6.5538066,301.8335803,60.74383968,9490.013613,1
4,200.75,33.88583775,23,230.6086957,20.75339869,23,230.6086957,20.75339869,325.433965,718.0019123,8329.212132,0.970944673,12,459.75,32.41246954,23,230.6086957,20.75339869,325.433965,718.0019123,8329.212132,0.970944673,16,190.6875,22.28218646,5,222,17.97220076,5,222,17.97220076,313.5314338,452.42816,9851.679864,0.99999983,3,450,11.26942767,5,222,17.97220076,313.5314338,452.42816,9851.679864,0.99999983,6,191.1666667,21.46081701,1,237,0,1,237,0,335.1686143,0,12429.55556,1,1,437,0,1,237,0,335.1686143,0,12429.55556,1,2,194,29.69848481,5,232.6,18.86266153,5,232.6,18.86266153,332.0719199,355.8,11595.05406,0.99831772,3,456,25.35744467,5,232.6,18.86266153,332.0719199,355.8,11595.05406,0.99831772,1,167,0,10,213.6,6.186005712,10,213.6,6.186005712,302.0760169,54.11723899,9387.563509,1,5,428.2,5.215361924,7,213.4285714,6.5538066,301.8335803,60.74383968,9490.013613,1
96,173.59375,6.986570765,77,229.6233766,23.96820205,77,229.6233766,23.96820205,312.6082384,576.2013582,7190.217853,0.980569239,39,460.5128205,44.62290643,77,229.6233766,23.96820205,312.6082384,576.6822626,8151.823836,0.969611104,3,202,26.28687886,5,221.4,17.79887637,5,221.4,17.79887637,306.9048022,448.590714,9209.604742,0.999502205,3,448.6666667,11.8462371,5,221.4,17.79887637,306.9048022,448.590714,9209.604742,0.999502205,10,190.4,23.90350974,1,237,0,1,237,0,324.3253922,316.8,11034.56305,0.998410256,1,437,0,1,237,0,324.3253922,316.8,11034.56305,0.998410256,1,222,0,1,237,0,1,237,0,332.0719199,355.8,11595.05406,0.99831772,1,437,0,1,237,0,332.0719199,355.8,11595.05406,0.99831772,1,167,0,10,213.6,6.186005712,10,213.6,6.186005712,319.7951845,38.26666667,10846.83829,0.999922814,5,428.2,5.215361924,7,213.4285714,6.5538066,319.6807081,42.95238095,10906.69018,0.999998422
1,167,0,96,212.125,6.676352613,96,212.125,6.676352613,307.0521383,326.0610577,7328.626233,0.876747499,48,425.25,5.00425351,8,212.125,7.100050302,307.0521383,326.9101407,9568.248883,0.99836881,3,178.6666667,10.69267662,13,212.5384615,17.82140747,13,212.5384615,17.82140747,312.8889463,656.4240859,7804.790623,0.963195677,7,395.5714286,70.5427935,13,212.5384615,17.82140747,312.8889463,656.4240859,7804.790623,0.963195677,3,202,26.28687886,5,221.4,17.79887637,5,221.4,17.79887637,306.9048022,448.590714,9209.604742,0.999502205,3,448.6666667,11.8462371,5,221.4,17.79887637,306.9048022,448.590714,9209.604742,0.999502205,1,173,0,5,232.6,18.86266153,5,232.6,18.86266153,332.0719199,355.8,11595.05406,0.99831772,3,456,25.35744467,5,232.6,18.86266153,332.0719199,355.8,11595.05406,0.99831772,1,242,0,1,238,0,1,238,0,336.5828278,0,12534.88889,1,1,438,0,1,238,0,336.5828278,0,12534.88889,1
16,190.6875,22.28218646,5,222,17.97220076,5,222,17.97220076,312.6764065,425.4846959,9538.435522,0.998720737,3,450,11.26942767,5,222,17.97220076,313.5314338,452.42816,9851.679864,0.99999983,96,173.59375,6.986570765,77,229.6233766,23.96820205,77,229.6233766,23.96820205,318.9746935,656.0361513,8246.730655,0.954235785,39,460.5128205,44.62290643,77,229.6233766,23.96820205,318.9746935,656.0361513,8246.730655,0.954235785,16,178.5625,15.65021299,13,212.5384615,17.82140747,13,212.5384615,17.82140747,300.5747748,449.1578536,8639.286083,1,7,395.5714286,70.5427935,13,212.5384615,17.82140747,300.5747748,449.1578536,8639.286083,1,5,185,17.04406055,1,237,0,1,237,0,335.1686143,0,12429.55556,1,1,437,0,1,237,0,335.1686143,0,12429.55556,1,1,215,0,1,238,0,1,238,0,336.5828278,0,12534.88889,1,1,438,0,1,238,0,336.5828278,0,12534.88889,1
9,202,22.76510488,16,220.1875,16.64219036,16,220.1875,16.64219036,311.2595945,383.4569942,9463.107812,0.999204394,8,441.375,13.92774723,5,221.4,17.79887637,312.1185031,413.1504327,9768.649613,0.999948875,6,202,23.51169922,5,221.4,17.79887637,5,221.4,17.79887637,306.6186159,319.9867979,8534.507918,0.970405866,3,448.6666667,11.8462371,5,221.4,17.79887637,306.6186159,320.7857231,9544.937976,0.998401908,3,178.6666667,10.69267662,13,212.5384615,17.82140747,13,212.5384615,17.82140747,303.0323376,438.0344353,8936.717723,0.999738954,7,395.5714286,70.5427935,13,212.5384615,17.82140747,303.0323376,438.0344353,8936.717723,0.999738954,5,190.4,25.35350074,1,237,0,1,237,0,335.1686143,0,12429.55556,1,1,437,0,1,237,0,335.1686143,0,12429.55556,1,1,173,0,1,238,0,1,238,0,335.8764654,0,12482.11111,1,1,438,0,1,238,0,335.8764654,0,12482.11111,1
4,194.5,26.18523757,6,220,16.28496239,6,220,16.28496239,312.5443968,417.9234858,9792.772155,0.999942813,3,441,13.07669683,6,220,16.28496239,312.5443968,417.9234858,9792.772155,0.999942813,1,167,0,48,212.125,6.711771178,48,212.125,6.711771178,302.3146963,154.0344143,8443.355982,0.975671913,24,425.25,5.05835512,8,212.125,7.100050302,302.3146963,155.6872831,9401.724537,0.99943278,10,181.4,19.39186542,7,216,17.36855396,7,216,17.36855396,305.4701295,426.6210913,9249.217585,1,4,430,21.81742423,7,216,17.36855396,305.4701295,426.6210913,9249.217585,1,5,190.4,25.35350074,1,237,0,1,237,0,324.3253922,316.8,11034.56305,0.998410256,1,437,0,1,237,0,324.3253922,316.8,11034.56305,0.998410256,1,222,0,1,237,0,1,237,0,335.1686143,0,12429.55556,1,1,437,0,1,237,0,335.1686143,0,12429.55556,1
5,192.8,23.57328997,5,222,17.97220076,5,222,17.97220076,307.0521383,326.0610577,7328.626233,0.876747499,3,450,11.26942767,5,222,17.97220076,307.0521383,326.9101407,9568.248883,0.99836881,3,191.6666667,23.11565126,5,215.4,12.13672114,5,215.4,12.13672114,307.8914744,303.3617148,9611.865267,0.999918754,3,425,19.67231557,5,215.4,12.13672114,307.8914744,303.3617148,9611.865267,0.999918754,85,172.6705882,2.60671402,7,216,17.36855396,7,216,17.36855396,309.3120754,437.4528749,9533.543494,0.999962116,4,430,21.81742423,7,216,17.36855396,309.3120754,437.4528749,9533.543494,0.999962116,3,202,26.28687886,5,221.4,17.79887637,5,221.4,17.79887637,316.6144939,647.1741273,9982.22406,0.999504705,3,448.6666667,11.8462371,5,221.4,17.79887637,316.6144939,647.1741273,9982.22406,0.999504705,2,193,29.69848481,1,237,0,1,237,0,335.1686143,0,12429.55556,1,1,437,0,1,237,0,335.1686143,0,12429.55556,1
1,167,0,96,212.125,6.676352613,96,212.125,6.676352613,299.9900519,63.03670874,7074.764036,1,48,425.25,5.00425351,8,212.125,7.100050302,299.9900519,71.29151583,9300.339504,1,4,194.5,26.18523757,6,220,16.28496239,6,220,16.28496239,312.5443968,417.9234858,9792.772155,0.999942813,3,441,13.07669683,6,220,16.28496239,312.5443968,417.9234858,9792.772155,0.999942813,2,217,5.656854249,5,221.4,17.79887637,5,221.4,17.79887637,309.3120754,437.4528749,9533.543494,0.999962116,3,448.6666667,11.8462371,5,221.4,17.79887637,309.3120754,437.4528749,9533.543494,0.999962116,1,222,0,3,226.3333333,23.75570107,3,226.3333333,23.75570107,320.0836696,798.0878537,10149.586,1,2,340,144.2497834,3,226.3333333,23.75570107,320.0836696,798.0878537,10149.586,1,1,183,0,1,237,0,1,237,0,335.1686143,0,12429.55556,1,1,437,0,1,237,0,335.1686143,0,12429.55556,1
1,167,0,96,212.125,6.676352613,96,212.125,6.676352613,299.9900519,63.03670874,7074.764036,1,48,425.25,5.00425351,8,212.125,7.100050302,299.9900519,71.29151583,9300.339504,1,5,192.8,23.57328997,5,222,17.97220076,5,222,17.97220076,307.0521383,326.1262191,8554.392758,0.970264995,3,450,11.26942767,5,222,17.97220076,307.0521383,326.9101407,9568.248883,0.99836881,1,174,0,7,216,17.36855396,7,216,17.36855396,309.3120754,437.4528749,9533.543494,0.999962116,4,430,21.81742423,7,216,17.36855396,309.3120754,437.4528749,9533.543494,0.999962116,15,175.6666667,10.89342309,3,226.3333333,23.75570107,3,226.3333333,23.75570107,320.0836696,798.0878537,10149.586,1,2,340,144.2497834,3,226.3333333,23.75570107,320.0836696,798.0878537,10149.586,1,2,178,7.071067812,1,237,0,1,237,0,335.8764654,0,12482.11111,1,1,437,0,1,237,0,335.8764654,0,12482.11111,1
1,167,0,96,212.125,6.676352613,96,212.125,6.676352613,299.9900519,63.03670874,7074.764036,1,48,425.25,5.00425351,8,212.125,7.100050302,299.9900519,71.29151583,9300.339504,1,1,167,0,48,212.125,6.711771178,48,212.125,6.711771178,299.9900519,63.70731202,7870.703116,1,24,425.25,5.05835512,8,212.125,7.100050302,299.9900519,71.29151583,9300.339504,1,1,172,0,5,221.4,17.79887637,5,221.4,17.79887637,313.1068827,448.0228566,9827.354309,1,3,448.6666667,11.8462371,5,221.4,17.79887637,313.1068827,448.0228566,9827.354309,1,3,178.6666667,10.69267662,3,226.3333333,23.75570107,3,226.3333333,23.75570107,327.7129503,564.3333333,11188.53442,0.99614197,2,340,144.2497834,3,226.3333333,23.75570107,327.7129503,564.3333333,11188.53442,0.99614197,1,173,0,1,238,0,1,238,0,335.8764654,0,12482.11111,1,1,438,0,1,238,0,335.8764654,0,12482.11111,1
1,167,0,96,212.125,6.676352613,96,212.125,6.676352613,302.3146963,153.8964045,7283.931971,0.887780026,48,425.25,5.00425351,8,212.125,7.100050302,302.3146963,155.6872831,9401.724537,0.99943278,1,167,0,48,212.125,6.711771178,48,212.125,6.711771178,299.9900519,63.70731202,7870.703116,1,24,425.25,5.05835512,8,212.125,7.100050302,299.9900519,71.29151583,9300.339504,1,3,202,26.28687886,5,221.4,17.79887637,5,221.4,17.79887637,307.6408946,319.1027699,9582.216384,0.997633956,3,448.6666667,11.8462371,5,221.4,17.79887637,307.5218937,319.6985252,9642.818517,0.998509655,10,181.4,19.39186542,1,237,0,1,237,0,335.1686143,0,12429.55556,1,1,437,0,1,237,0,335.1686143,0,12429.55556,1,3,202.6666667,26.85764944,1,237,0,1,237,0,335.1686143,0,12429.55556,1,1,437,0,1,237,0,335.1686143,0,12429.55556,1
3,191.6666667,23.11565126,5,215.4,12.13672114,5,215.4,12.13672114,302.3146963,153.8964045,7283.931971,0.887780026,3,425,19.67231557,5,215.4,12.13672114,302.3146963,155.6872831,9401.724537,0.99943278,1,167,0,48,212.125,6.711771178,48,212.125,6.711771178,299.9900519,63.70731202,7870.703116,1,24,425.25,5.05835512,8,212.125,7.100050302,299.9900519,71.29151583,9300.339504,1,1,167,0,10,213.6,6.186005712,10,213.6,6.186005712,303.3514793,152.189447,9441.096572,0.99894474,5,428.2,5.215361924,7,213.4285714,6.5538066,303.2307951,153.434667,9497.714454,0.999496228,6,172.3333333,0.816496581,1,237,0,1,237,0,324.3253922,316.8,11034.56305,0.998410256,1,437,0,1,237,0,324.3253922,316.8,11034.56305,0.998410256,2,172,0,1,237,0,1,237,0,335.1686143,0,12429.55556,1,1,437,0,1,237,0,335.1686143,0,12429.55556,1
